ANO_CONVOCATORIA,CODIGO_PROYECTO,TITULO_PROYECTO,FECHA_APROBACION,ANO_APROBACION,ENTIDAD,CONVOCATORIA,DESCRIPCION_FINANCIACION,PROGRAMA,AREA_TEMATICA,TIPO_PROYECTO,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,COD_DANE_ENT,DEPARTAMENTO_PROYECTO,CIUDAD_PROYECTO,COD_DANE_PRY
"2,008","417,345,522,072",Navegacion movil para Colombia con rutas basadas en Trafico vehicular,19/05/2009,"2,009",MERIDIAN GROUP S.A.,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE ELECTRONICA TELECOMUNICACIONES E INFORMATICA,TELECOMUNICACIONES,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,008","439,845,525,005",Modulo de Software para Visualizacion de Tendencias de Modos de Deflexion en Tiempo Real de Rotores de Turbomaquinas.,19/05/2009,"2,009",A-MAQ S.A - ANALISIS DE MAQUINARIA,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE ELECTRONICA TELECOMUNICACIONES E INFORMATICA,INFORMATICA,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,008","612,845,525,100",Estudio de Inteligencia Competitiva de Mercados en Estados Unidos Mexico Centro America y Sur America para la Identificacion de las Buenas Practicas en el Manejo de Cultivos Agroindustriales para el Mejoramiento del Software MyAgri de Compunet S.A.,18/06/2009,"2,009",INTEGRADORES DE TECNOLOGIA INFORMATICA - COMPUNET S.A.,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE ELECTRONICA TELECOMUNICACIONES E INFORMATICA,INFORMATICA,PROYECTO,VALLE DEL CAUCA,CALI,76001,VALLE DEL CAUCA,CALI,76001
"2,008","309,845,522,033",PROYECTO DE ACTUALIZACION TECNOLOGICA DE LA SOLUCION TICKET PLUS PARA MEJORAR LA COMPETITIVIDAD NACIONAL E INTERNACIONAL DE LA EMPRESA CONSULTORES TECNOLOGICOS ASOCIADOS LTDA. EN EL SECTOR DEL TRANSPORTE INTERMUNICIPAL DE PASAJEROS,19/05/2009,"2,009",ESICenter SinerTIC ANDINO,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE ELECTRONICA TELECOMUNICACIONES E INFORMATICA,INFORMATICA,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,TOLIMA,IBAGUE,73001
"2,008","438,945,525,888",Retos en el diseno y desarrollo de telas vinilicas de alta especificacion.,05/08/2009 12:00:00 AM,"2,009",PLASTIQUIMICA S.A.S.,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE DESARROLLO TECNOLOGICO INDUSTRIAL Y CALIDAD,INFORMACION NO SOLICITADA,PROYECTO,ANTIOQUIA,SABANETA,05631,ANTIOQUIA,SABANETA,05631
"2,008","726,245,522,078",MULTIPLICACION CLONAL DE MATERIALES ELITE DE PALMA DE ACEITE  Elaeis guineensis Jaqc.  PARA LOS NUEVOS DESARROLLOS PALMEROS EN COLOMBIA.,26/05/2009,"2,009",CORPORACION CENTRO DE INVESTIGACIONES EN PALMA DE ACEITE - CENIPALMA,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE CIENCIA Y TECNOLOGIA AGROPECUARIA,INFORMACION NO SOLICITADA,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,SANTANDER,BARRANCABERMEJA,68081
"2,008","338,745,522,074",Mejoramiento de la calidad e inocuidad de los productos carnicos embutidos mediante el desarrollo de empaques activos,30/04/2009,"2,009",ALICO S.A.,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE DESARROLLO TECNOLOGICO INDUSTRIAL Y CALIDAD,INFORMACION NO SOLICITADA,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,ITAGUI,05360
"2,008","419,145,422,099",FORTALECIMIENTO DEL LABORATORIO DE QUINTAL S.A. POR MEDIO DE LA TRANSFERENCIA TECNOLOGICA DEL EQUIPO DE PLASMA ACOPLADO INDUCTIVAMENTE.,29/04/2009,"2,009",QUIMICA INTERNACIONAL S.A. - QUINTAL S.A.,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE DESARROLLO TECNOLOGICO INDUSTRIAL Y CALIDAD,INFORMACION NO SOLICITADA,PROYECTO,ATLANTICO,BARRANQUILLA,08001,ATLANTICO,BARRANQUILLA,08001
"2,008","417,445,522,073",Recuperacion y Regeneracion de materiales postconsumo en plasticos caucho y aceite usado cerrando su ciclo de vida ,29/04/2009,"2,009",COMERCIALIZADORA INTERNACIONAL PLASTIGOMA S.A.,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE DESARROLLO TECNOLOGICO INDUSTRIAL Y CALIDAD,INFORMACION NO SOLICITADA,PROYECTO,CALDAS,MANIZALES,17001,CALDAS,MANIZALES,17001
"2,008","860,145,522,117",Implementacion de cambios tecnologicos en procesos y partes para la produccion de nuevos modelos de vehiculos mas ecologicos y con nuevas especificaciones tecnicas para la apertura del mercado mexicano.,29/04/2009,"2,009",SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A. SOFASA,455/08 -PROYECTOS EMPRESARIALES-INNOVACION-CREDITO,REEMBOLSO OBLIGATORIO,PROGRAMA NACIONAL DE DESARROLLO TECNOLOGICO INDUSTRIAL Y CALIDAD,INFORMACION NO SOLICITADA,PROYECTO,CUNDINAMARCA,CHIA,25175,ANTIOQUIA,ENVIGADO,05266
